Algo,Mode,Operation,Time(Sec),Throughput(MB/sec)
DES,ECB,Encrypt,0.206402,3.963421
DES,ECB,Decrypt,0.211355,3.870540
2DES,ECB,Encrypt,0.384804,2.125908
2DES,ECB,Decrypt,0.368618,2.219257
3DES,ECB,Encrypt,0.547171,1.495068
3DES,ECB,Decrypt,0.566875,1.443101
AES,ECB,Encrypt,0.182116,4.491961
AES,ECB,Decrypt,0.205514,3.980546
DES,CBC,Encrypt,0.186785,4.379677
DES,CBC,Decrypt,0.197258,4.147147
2DES,CBC,Encrypt,0.366576,2.231619
2DES,CBC,Decrypt,0.372348,2.197025
3DES,CBC,Encrypt,0.549154,1.489670
3DES,CBC,Decrypt,0.567360,1.441868
AES,CBC,Encrypt,0.183737,4.452331
AES,CBC,Decrypt,0.210538,3.885560
DES,CFB,Encrypt,1.521199,0.537772
DES,CFB,Decrypt,1.515559,0.539773
2DES,CFB,Encrypt,3.003722,0.272348
2DES,CFB,Decrypt,3.005494,0.272188
3DES,CFB,Encrypt,4.461101,0.183376
3DES,CFB,Decrypt,4.510294,0.181376
AES,CFB,Encrypt,3.126474,0.261655
AES,CFB,Decrypt,3.118294,0.262342
DES,OFB,Encrypt,0.193570,4.226161
DES,OFB,Decrypt,0.188877,4.331168
2DES,OFB,Encrypt,0.377637,2.166255
2DES,OFB,Decrypt,0.367454,2.226287
3DES,OFB,Encrypt,0.562477,1.454385
3DES,OFB,Decrypt,0.547054,1.495388
AES,OFB,Encrypt,0.199968,4.090945
AES,OFB,Decrypt,0.182890,4.472951
DES,Counter,Encrypt,0.188243,4.345755
DES,Counter,Decrypt,0.188393,4.342295
2DES,Counter,Encrypt,0.366330,2.233118
2DES,Counter,Decrypt,0.372362,2.196943
3DES,Counter,Encrypt,0.548322,1.491930
3DES,Counter,Decrypt,0.546098,1.498006
AES,Counter,Encrypt,0.187618,4.360232
AES,Counter,Decrypt,0.183580,4.456139
AES,GCM,Encrypt,0.243787,3.355626
AES,GCM,Decrypt,0.231102,3.539814
