Algo,Mode,Operation,Time(Sec),Throughput(MB/sec)
DES,ECB,Encrypt,3.446678,0.660154
DES,ECB,Decrypt,3.387339,0.671718
2DES,ECB,Encrypt,6.802659,0.334478
2DES,ECB,Decrypt,6.767110,0.336235
3DES,ECB,Encrypt,10.168153,0.223771
3DES,ECB,Decrypt,10.151774,0.224132
AES,ECB,Encrypt,1.248337,1.822695
AES,ECB,Decrypt,2.359551,0.964310
DES,CBC,Encrypt,3.858401,0.589710
DES,CBC,Decrypt,3.831690,0.593821
2DES,CBC,Encrypt,7.681626,0.296205
2DES,CBC,Decrypt,7.727090,0.294462
3DES,CBC,Encrypt,11.418922,0.199260
3DES,CBC,Decrypt,11.444553,0.198814
AES,CBC,Encrypt,1.416295,1.606542
AES,CBC,Decrypt,3.056192,0.744501
DES,CFB,Encrypt,30.676629,0.074172
DES,CFB,Decrypt,30.650328,0.074235
2DES,CFB,Encrypt,61.479823,0.037010
2DES,CFB,Decrypt,61.548413,0.036968
3DES,CFB,Encrypt,91.361959,0.024905
3DES,CFB,Decrypt,91.288755,0.024925
AES,CFB,Encrypt,21.677111,0.104965
AES,CFB,Decrypt,21.647702,0.105108
DES,OFB,Encrypt,3.841361,0.592326
DES,OFB,Decrypt,3.858663,0.589670
2DES,OFB,Encrypt,7.696065,0.295650
2DES,OFB,Decrypt,7.691920,0.295809
3DES,OFB,Encrypt,11.448662,0.198743
3DES,OFB,Decrypt,11.391808,0.199735
AES,OFB,Encrypt,1.368238,1.662969
AES,OFB,Decrypt,1.404821,1.619664
DES,Counter,Encrypt,3.810094,0.597187
DES,Counter,Decrypt,3.809498,0.597280
2DES,Counter,Encrypt,7.626092,0.298362
2DES,Counter,Decrypt,7.618761,0.298649
3DES,Counter,Encrypt,11.371722,0.200087
3DES,Counter,Decrypt,11.345101,0.200557
AES,Counter,Encrypt,1.388753,1.638404
AES,Counter,Decrypt,1.386373,1.641216
AES,GCM,Encrypt,1.424543,1.597241
AES,GCM,Decrypt,1.385293,1.642496
